"","Country","Code","Year","SDG","Value"
"1","Albania","ALB",2000,"14",40.3502322614649
"2","Albania","ALB",2001,"14",40.3502322614649
"3","Albania","ALB",2002,"14",39.5500146385419
"4","Albania","ALB",2003,"14",41.757980544284
"5","Albania","ALB",2004,"14",39.956484114116
"6","Albania","ALB",2005,"14",45.1398175852016
"7","Albania","ALB",2006,"14",45.6498713108607
"8","Albania","ALB",2007,"14",46.1202382727541
"9","Albania","ALB",2008,"14",44.4109915654342
"10","Albania","ALB",2009,"14",46.3355942902546
"11","Albania","ALB",2010,"14",47.899530079115
"12","Albania","ALB",2011,"14",49.4999653249609
"13","Albania","ALB",2012,"14",51.2386818030966
"14","Albania","ALB",2013,"14",53.2318772995716
"15","Albania","ALB",2014,"14",53.5311088186249
"16","Albania","ALB",2015,"14",53.1525356089135
"17","Albania","ALB",2016,"14",53.7800327960465
"18","Albania","ALB",2017,"14",53.661796328449
"19","Albania","ALB",2018,"14",47.1713733009398
"20","Albania","ALB",2019,"14",63.1203633108607
"21","Albania","ALB",2020,"14",73.1203633108607
"22","Argentina","ARG",2000,"14",27.7864314939154
"23","Argentina","ARG",2001,"14",28.0384671495724
"24","Argentina","ARG",2002,"14",27.7843528340192
"25","Argentina","ARG",2003,"14",27.0589430908596
"26","Argentina","ARG",2004,"14",28.4562749717564
"27","Argentina","ARG",2005,"14",29.1293461238884
"28","Argentina","ARG",2006,"14",29.2506255653229
"29","Argentina","ARG",2007,"14",29.1282126711647
"30","Argentina","ARG",2008,"14",28.8607178283746
"31","Argentina","ARG",2009,"14",29.3928670005461
"32","Argentina","ARG",2010,"14",29.1820447939403
"33","Argentina","ARG",2011,"14",29.0868347651506
"34","Argentina","ARG",2012,"14",29.0557962372069
"35","Argentina","ARG",2013,"14",29.5526822341459
"36","Argentina","ARG",2014,"14",29.1925259440014
"37","Argentina","ARG",2015,"14",29.6631905003193
"38","Argentina","ARG",2016,"14",31.3478379615312
"39","Argentina","ARG",2017,"14",29.9409545462447
"40","Argentina","ARG",2018,"14",30.0823198241998
"41","Argentina","ARG",2019,"14",34.9975453890513
"42","Argentina","ARG",2020,"14",41.6646211575428
"43","Antigua and Barbuda","ATG",2000,"14",42.2712169267057
"44","Antigua and Barbuda","ATG",2001,"14",41.9708519549287
"45","Antigua and Barbuda","ATG",2002,"14",41.9368483732181
"46","Antigua and Barbuda","ATG",2003,"14",39.4772559628175
"47","Antigua and Barbuda","ATG",2004,"14",40.965857206593
"48","Antigua and Barbuda","ATG",2005,"14",45.6725376290308
"49","Antigua and Barbuda","ATG",2006,"14",45.6744267169036
"50","Antigua and Barbuda","ATG",2007,"14",42.4762009482338
"51","Antigua and Barbuda","ATG",2008,"14",45.6725376290308
"52","Antigua and Barbuda","ATG",2009,"14",43.2469488003409
"53","Antigua and Barbuda","ATG",2010,"14",43.8439005681493
"54","Antigua and Barbuda","ATG",2011,"14",44.7582190985901
"55","Antigua and Barbuda","ATG",2012,"14",45.6707863574623
"56","Antigua and Barbuda","ATG",2013,"14",45.3306477730541
"57","Antigua and Barbuda","ATG",2014,"14",45.3768534309087
"58","Antigua and Barbuda","ATG",2015,"14",45.2020358076443
"59","Antigua and Barbuda","ATG",2016,"14",45.3901919036712
"60","Antigua and Barbuda","ATG",2017,"14",45.3275813512691
"61","Antigua and Barbuda","ATG",2018,"14",45.5998213910095
"62","Antigua and Barbuda","ATG",2019,"14",45.2907044045788
