"","X","Country","Code","SDG","Year","Value"
"2647",2647,"Belgium","BEL","14_1_1_1",2000,16.2696905771489
"2648",2648,"Belgium","BEL","14_1_1_1",2001,16.2696905771489
"2649",2649,"Belgium","BEL","14_1_1_1",2002,16.2696905771489
"2650",2650,"Belgium","BEL","14_1_1_1",2003,16.2696905771489
"2651",2651,"Belgium","BEL","14_1_1_1",2004,16.2696905771489
"2652",2652,"Belgium","BEL","14_1_1_1",2005,16.2696905771489
"2653",2653,"Belgium","BEL","14_1_1_1",2006,16.2696905771489
"2654",2654,"Belgium","BEL","14_1_1_1",2007,16.2696905771489
"2655",2655,"Belgium","BEL","14_1_1_1",2008,16.2696905771489
"2656",2656,"Belgium","BEL","14_1_1_1",2009,16.2696905771489
"2657",2657,"Belgium","BEL","14_1_1_1",2010,16.2696905771489
"2658",2658,"Belgium","BEL","14_1_1_1",2011,16.2696905771489
"2659",2659,"Belgium","BEL","14_1_1_1",2012,16.2696905771489
"2660",2660,"Belgium","BEL","14_1_1_1",2013,16.2696905771489
"2661",2661,"Belgium","BEL","14_1_1_1",2014,16.2696905771489
"2662",2662,"Belgium","BEL","14_1_1_1",2015,16.2696905771489
"2663",2663,"Belgium","BEL","14_1_1_1",2016,47.4875252593748
"2664",2664,"Belgium","BEL","14_1_1_1",2017,48.8337378322344
"2665",2665,"Belgium","BEL","14_1_1_1",2018,68.0017639895909
"2666",2666,"Belgium","BEL","14_1_1_1",2019,40.5220930281808
"2667",2667,"Belgium","BEL","14_1_1_1",2020,40.5220930281808
"2668",2668,"Belgium","BEL","14_1_1_2",2000,99.3131276494457
"2669",2669,"Belgium","BEL","14_1_1_2",2001,53.4196268673634
"2670",2670,"Belgium","BEL","14_1_1_2",2002,89.4067508444223
"2671",2671,"Belgium","BEL","14_1_1_2",2003,80.1917802008478
"2672",2672,"Belgium","BEL","14_1_1_2",2004,99.3131276494457
"2673",2673,"Belgium","BEL","14_1_1_2",2005,75.8166526874164
"2674",2674,"Belgium","BEL","14_1_1_2",2006,52.7735588148618
"2675",2675,"Belgium","BEL","14_1_1_2",2007,93.0904721964047
"2676",2676,"Belgium","BEL","14_1_1_2",2008,88.6019994106046
"2677",2677,"Belgium","BEL","14_1_1_2",2009,88.9420352277106
"2678",2678,"Belgium","BEL","14_1_1_2",2010,97.2389091650987
"2679",2679,"Belgium","BEL","14_1_1_2",2011,93.0904721964047
"2680",2680,"Belgium","BEL","14_1_1_2",2012,95.8560968422007
"2681",2681,"Belgium","BEL","14_1_1_2",2013,68.9025910729264
"2682",2682,"Belgium","BEL","14_1_1_2",2014,95.1646906807517
"2683",2683,"Belgium","BEL","14_1_1_2",2015,66.3749914991046
"2684",2684,"Belgium","BEL","14_1_1_2",2016,78.5822773332124
"2685",2685,"Belgium","BEL","14_1_1_2",2017,81.3479019790085
"2686",2686,"Belgium","BEL","14_1_1_2",2018,89.2934055720536
"2687",2687,"Belgium","BEL","14_1_1_2",2019,95.1646906807517
"2688",2688,"Belgium","BEL","14_1_1_2",2020,95.1646906807517
"2689",2689,"Belgium","BEL","14_5_1",2000,80.79487
"2690",2690,"Belgium","BEL","14_5_1",2001,80.79487
"2691",2691,"Belgium","BEL","14_5_1",2002,82.00182
"2692",2692,"Belgium","BEL","14_5_1",2003,82.65622
"2693",2693,"Belgium","BEL","14_5_1",2004,82.65622
"2694",2694,"Belgium","BEL","14_5_1",2005,91.6602
"2695",2695,"Belgium","BEL","14_5_1",2006,91.6602
"2696",2696,"Belgium","BEL","14_5_1",2007,91.66264
"2697",2697,"Belgium","BEL","14_5_1",2008,91.66264
"2698",2698,"Belgium","BEL","14_5_1",2009,91.66264
"2699",2699,"Belgium","BEL","14_5_1",2010,91.66264
"2700",2700,"Belgium","BEL","14_5_1",2011,91.66264
"2701",2701,"Belgium","BEL","14_5_1",2012,91.66425
"2702",2702,"Belgium","BEL","14_5_1",2013,91.66425
"2703",2703,"Belgium","BEL","14_5_1",2014,91.66425
"2704",2704,"Belgium","BEL","14_5_1",2015,91.66425
"2705",2705,"Belgium","BEL","14_5_1",2016,91.66425
"2706",2706,"Belgium","BEL","14_5_1",2017,91.66425
"2707",2707,"Belgium","BEL","14_5_1",2018,91.66425
"2708",2708,"Belgium","BEL","14_5_1",2019,91.66425
"2709",2709,"Belgium","BEL","14_5_1",2020,91.66425
"2710",2710,"Belgium","BEL","14_6_1",2000,100
